# list of object assets to load in this scene
[ASSETS]
sources/hud.txt
sources/worldmap.txt
#
[OBJECTS]
12	51	18
12	67	18
12	83	18
12	51	32
12	67	32
12	83	32
12	51	64
12	67	64
12	83	64
12	51	80
12	67	80
12	83	80
12	51	96
12	115	32
12	131	32
12	147	32
12	115	48
12	131	48
12	147	48
12	115	64
12	131	64
12	147	64
12	131	96
12	147	96
12	163	96
12	179	32
12	195	32
12	211	32
12	179	64
12	195	64
12	211	64
12	179	80
12	195	80
12	243	18
12	259	18
12	243	32
12	259	32
12	243	48
12	259	48
12	227	64
12	243	64
12	259	64
12	259	80
12	259	96
12	259	112
12	259	128
12	259	144
[HUD]

#
