# list of object assets to load in this scene
[ASSETS]
sources/hud.txt
sources/worldmap.txt
#
[OBJECTS]
#TREE
12	51	18	1
12	67	18	1
12	83	18	1
12	51	34	1
12	67	34	1
12	83	34	1
12	51	66	1
12	67	66	1
12	83	66	1
12	51	82	1
12	67	82	1
12	83	82	1
12	51	98	1
12	115	34	1
12	131	34	1
12	147	34	1
12	115	50	1
12	131	50	1
12	147	50	1
12	115	66	1
12	131	66	1
12	147	66	1
12	131	98	1
12	147	98	1
12	163	98	1
12	179	34	1
12	195	34	1
12	211	34	1
12	179	66	1
12	195	66	1
12	211	66	1
12	179	82	1
12	195	82	1
12	243	18	1
12	259	18	1
12	243	34	1
12	259	34	1
12	243	50	1
12	259	50	1
12	227	66	1
12	243	66	1
12	259	66	1
12	259	82	1
12	259	98	1
12	259	114	1
12	259	130	1
12	259	146	1
# MARIO
0	67	50	1
[HUD]

